relative_path,file_name,extension,format,size_bytes,size_mb,sha256,encoding,delimiter,line_count,data_row_count,column_count,field_names,field_names_redacted,table_theme,duplicate_rows,notes
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_timeline_sequencing.txt,data_timeline_sequencing.txt,.txt,delimited_text,73429,0.07,2df2de7d43554705012859a9ba9c1eec0020cf006cecdd441ea72f5808a48d2e,utf-8-sig,tab,1134,1133,7,PATIENT_ID|START_DATE|STOP_DATE|EVENT_TYPE|CA_SEQ|SAMPLE_ID|CPT_NUMBER,false,待确认,0,
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_timeline_treatment.txt,data_timeline_treatment.txt,.txt,delimited_text,954734,0.9105,c41f96fd569f75f687bbfdef8e20a80f6149d7f79064f2b7e5140962f23cf74c,utf-8-sig,tab,7671,7670,14,PATIENT_ID|START_DATE|STOP_DATE|EVENT_TYPE|TREATMENT_TYPE|AGENT|REGIMEN|REGIMEN_NUMBER|DURATION_DX_START_STOP|CA_SEQ|DRUGS_CT_YN|DRUGS_DC_YN|REDCAP_CA_INDEX|RT_DOSE,false,treatment,0,
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/genomic_information.txt,genomic_information.txt,.txt,delimited_text,7064539,6.7373,21b49e2b9a1216a67bd7447281faab9f59e2c3716a8e36b6dbdee0b7148e8782,utf-8-sig,tab,115194,115193,9,Chromosome|Start_Position|End_Position|Hugo_Symbol|ID|SEQ_ASSAY_ID|Feature_Type|includeInPanel|clinicalReported,false,genomic,0,
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/meta_clinical_patient.txt,meta_clinical_patient.txt,.txt,delimited_text,144,0.0001,cdf25a01f3b9bad35bf7827151eb97ccef65c8452c6eeefb5c82a80a8a5539f6,utf-8-sig,colon,4,4,2,key|value,false,metadata_or_case_list,0,Parsed as key-value text; values are not reported. Forced key-value metadata parsing to avoid treating ID lists as field names.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/meta_clinical_sample.txt,meta_clinical_sample.txt,.txt,delimited_text,142,0.0001,223e7de33221cecaa256c07708252f71b3881a1ae807d526fa65510de45cd49b,utf-8-sig,colon,4,4,2,key|value,false,metadata_or_case_list,0,Parsed as key-value text; values are not reported. Forced key-value metadata parsing to avoid treating ID lists as field names.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/meta_CNA.txt,meta_CNA.txt,.txt,delimited_text,270,0.0003,44495da167787c50282d179247dce9c97a122bad6a8a7c1d21068f04790fbaba,utf-8-sig,colon,8,8,2,key|value,false,metadata_or_case_list,0,Parsed as key-value text; values are not reported. Forced key-value metadata parsing to avoid treating ID lists as field names.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/meta_cna_hg19_seg.txt,meta_cna_hg19_seg.txt,.txt,delimited_text,207,0.0002,aae0a28a80c8766130f84488e515422c9f2d5fccd33c3438015be1bc4e2e4cfb,utf-8-sig,colon,6,6,2,key|value,false,metadata_or_case_list,0,Parsed as key-value text; values are not reported. Forced key-value metadata parsing to avoid treating ID lists as field names.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/meta_gene_matrix.txt,meta_gene_matrix.txt,.txt,delimited_text,147,0.0001,04b101465fcc7573070ca58b7c04ff76b7f3ff51d98e8b258383b8d43406520a,utf-8-sig,colon,4,4,2,key|value,false,metadata_or_case_list,0,Parsed as key-value text; values are not reported. Forced key-value metadata parsing to avoid treating ID lists as field names.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/meta_mutations_extended.txt,meta_mutations_extended.txt,.txt,delimited_text,283,0.0003,2f6693141cc65d1ad5bb4c5f37f23bb3108186889feec185702eb2a444f5b538,utf-8-sig,colon,8,8,2,key|value,false,metadata_or_case_list,0,Parsed as key-value text; values are not reported. Forced key-value metadata parsing to avoid treating ID lists as field names.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/meta_study.txt,meta_study.txt,.txt,delimited_text,717,0.0007,f31180cb6a2012938f7dc08efc1cd076508dc06e5c7fc3dc579c72df808a1d2f,utf-8-sig,colon,6,6,2,key|value,false,metadata_or_case_list,0,Parsed as key-value text; values are not reported. Forced key-value metadata parsing to avoid treating ID lists as field names.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/meta_sv.txt,meta_sv.txt,.txt,delimited_text,268,0.0003,f709a155855d6e60eab799c76299a04e510970bba176631b8088753f441e5f88,utf-8-sig,colon,8,8,2,key|value,false,metadata_or_case_list,0,Parsed as key-value text; values are not reported. Forced key-value metadata parsing to avoid treating ID lists as field names.
